Radomir Vasek,Razvan Sabau,0.93,Martin Laurendeau,0.88,Marcos Aurelio Gorriz,0.88,[]
Daniele Musa,Woody Blocher,0.98,Tomas Tenconi,0.97,Albert Chang,0.95,[]
Bob Green,Carlos Kirmayr,0.85,John Fitzgerald,0.61,Mikhail Kukushkin,0.54,[]
Eric Taino,Roberto Saad,1.0,Martin Fischer,1.0,Guillermo Aubone,1.0,[]
Doug Flach,Doug Crawford,0.78,Steve Faulk,0.77,Kelly Jones,0.76,[]
Fernando Maynetto,Stephane Bonneau,1.0,Jose Daher,1.0,Chris Bailey,1.0,[]
Tim Smyczek,Syd Ball,1.0,Udo Riglewski,0.99,Joao Souza,0.99,"[102.0, 130.0, 146.0]"
Eduardo Schwank,Wesley Moodie,0.87,Jerome Haehnel,0.75,Alexander Popp,0.66,[]
Szabolcz Baranyi,Eduardo Medica,0.99,Jim Gurfein,0.98,Nicholas Kalogeropoulos,0.97,[]
Jurgen Melzer,David Wheaton,0.96,Julien Benneteau,0.94,Guillermo Garcia Lopez,0.86,"[69.0, 36.0, 26.0]"
Guillermo Perez Roldan,Paul Haarhuis,0.43,Magnus Gustafsson,0.42,Cedric Pioline,0.39,[]
Brian Vahaly,Filip Dewulf,0.76,Jean Baptiste Chanfreau,0.75,Lars Jonsson,0.61,[]
Philip Johnson,Mate Delic,1.0,Kenny Thorne,1.0,Dusan Vemic,1.0,[]
Georges Goven,Jan Hernych,0.9,Sergio Roitman,0.88,Mike Cahill,0.48,[]
Steve Shaw,Gilles Elseneer,0.97,Farrukh Dustov,0.97,Mark Farrell,0.96,[]
Christophe Casa,Zeeshan Ali,1.0,Simon Stadler,1.0,Bjorn Rehnquist,1.0,[]
Alex Stepanek,Tamer El Sawy,1.0,Michail Elgin,1.0,Mark Buckley,1.0,[]
Luke Saville,Tony Mmoh,1.0,Rayno Seegers,1.0,Pavel Snobel,1.0,[]
Davide Scala,Tamer El Sawy,1.0,Michail Elgin,1.0,Mark Buckley,1.0,[]
Todd Woodbridge,Renzo Furlan,0.98,Robert Maud,0.88,Ove Nils Bengtson,0.81,[]
Stephane Bonneau,Jesse Witten,1.0,Chris Bailey,1.0,Jimy Szymanski,0.99,[]
Frew Mcmillan,Jonathan Stark,0.5,Peter Feigl,0.39,Matt Anger,0.37,[]
Jonas Bjorkman,Charlie Pasarell,0.69,Thomaz Koch,0.59,Jaime Yzaga,0.49,[]
David Mustard,Stefano Tarallo,1.0,Richard Vogel,1.0,Maxime Teixeira,1.0,[]
Martin Wostenholme,Dick Norman,0.98,Olivier Patience,0.94,Oliver Marach,0.88,[]
Richard Krajicek,John Isner,0.76,Jose Higueras,0.69,Stanislas Wawrinka,0.64,[]
Jack Brasington,Massimiliano Narducci,1.0,Peter Carlsson,0.99,Jaroslav Pospisil,0.99,[]
Todd Reid,Xavier Daufresne,1.0,Robert Trogolo,1.0,Fredrik Jonsson,1.0,[]
Claudio Mezzadri,Ricardo Mello,0.88,Martin Sinner,0.81,Jerome Haehnel,0.81,[]
Steve Docherty,Cristiano Caratti,0.99,Christian Miniussi,0.97,Illya Marchenko,0.95,[]
Lars Anders Wahlgren,Marcos Aurelio Gorriz,0.87,Stanislav Birner,0.76,Peter Luczak,0.74,[]
Diego Moyano,Melle Van Gemerden,1.0,Paul Baccanello,0.99,Nelson Aerts,0.99,[]
Pedro Rebolledo,Victor Crivoi,0.92,Steve Bryan,0.88,Nicola Spear,0.87,[]
Marco Meneschincheri,Luis Adrian Morejon,0.98,Zack Fleishman,0.97,Carlos Di Laura,0.97,[]
Rayno Seegers,Tony Mmoh,1.0,Pavel Snobel,1.0,Michael Yani,1.0,[]
Nicolas Thomann,Federico Browne,0.94,Chris Pridham,0.88,Andrej Martin,0.88,[]
Yuri Schukin,Francisco Montana,0.94,Razvan Sabau,0.87,Martin Laurendeau,0.81,[]
John Isner,Fernando Gonzalez,0.74,Jakob Hlasek,0.69,Sergi Bruguera,0.65,"[74.0, 72.0, 74.0]"
Marius Copil,Tuomas Ketola,0.99,Raul Antonio Viver,0.99,Michael Sell,0.99,"[151.0, 171.0, 172.0]"
Malivai Washington,Dick Stockton,0.96,Buster C Mottram,0.93,Adriano Panatta,0.93,[]
Hernan Gumy,Robin Vik,0.92,Peter Rennert,0.89,Mike De Palmer,0.83,[]
Alberto Martin,Marinko Matosevic,0.92,Rolf Gehring,0.72,David Sanchez,0.69,[]
Marcos Baghdatis,Nicolas Escude,0.72,Ivo Karlovic,0.7,Joao Sousa,0.53,"[54.0, 59.0, 172.0]"
Marc Gicquel,Thiemo De Bakker,0.94,Rui Machado,0.78,Marcos Ondruska,0.78,[]
Andre Agassi,Arthur Ashe,0.59,Andres Gomez,0.1,Brad Gilbert,0.09,[]
Conor Niland,Vladimir Korotkov,1.0,John Patrick Smith,1.0,John Mattke,1.0,[]
Gerard Toulon,Noam Behr,1.0,Mike Brunnberg,1.0,Mario Visconti,1.0,[]
Nicolas Almagro,Sebastien Grosjean,0.77,Mark Cox,0.68,Thomas Johansson,0.65,"[66.0, 113.0, 155.0]"
Francisco Gonzalez,Juan Balcells,0.71,Mike Estep,0.69,Kenneth Carlsen,0.58,[]
David Sanchez,Alberto Martin,0.9,Gilles Muller,0.89,Patrick Proisy,0.87,[]
Hendrik Dreekmann,Evgeny Korolev,0.72,Scott Draper,0.66,Ion Tiriac,0.65,[]
John Van Lottum,Leonardo Lavalle,0.95,Ivan Kley,0.81,Zoltan Kuharszky,0.77,[]
Cristiano Caratti,Alex Bogomolov Jr,0.92,Martin Mulligan,0.8,Maximo Gonzalez,0.76,[]
Broderick Dyke,Eric Fromm,0.97,Tomas Zib,0.93,Josef Cihak,0.89,[]
Martin Stringari,Oliver Fernandez,1.0,Vladimir Gabrichidze,0.99,Marius Copil,0.98,[]
